date,day,risk_index,controller,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-06-22,172,0,mpc,77013.23074463909,391.35486255721844,22659.415372851887,18366.640343786938,5654.46947813137,7062.194946310271,7048.2906221137055,51592.15911179545,1981.1984397277747,53573.35755152323
2025-06-23,173,0,mpc,75242.299466069,24.101657278116136,20859.43403846117,17535.61614334954,4881.29722823549,7048.2906221137055,6337.763319673718,50298.24494654164,167.4488740381022,50465.69382057975
2025-06-24,174,0,mpc,76198.01467383993,4687.329474412958,21787.85750081192,17903.419745626114,732.1141430670779,6337.763319673718,6054.146464153209,52244.317916631946,26804.417034239166,79048.73495087112
2025-06-25,175,0,mpc,87344.18667128592,65.1982321141445,19151.09782221869,14936.550313351863,12757.41602786657,6054.146464153209,6693.967489314626,59255.80376719723,449.37431159307505,59705.178078790304
2025-06-26,176,0,mpc,83976.67803342978,191.50181539602863,18204.917297820888,14861.614810010353,13277.49352768194,6693.967489314626,6565.487712897479,55787.53091412355,1340.9911241202449,57128.52203824379
2025-06-27,177,0,mpc,35261.67735331776,0.0,18538.05701623094,14648.800195538846,11600.774665959001,6565.487712897479,6973.294365795499,16831.231520367335,0.0,16831.231520367335
2025-06-28,178,0,mpc,33385.70950006318,0.0,18798.236392306495,15780.086806460875,8590.6337975509,6973.294365795499,6358.277333914819,15990.180391162534,0.0,15990.180391162534
2025-06-29,179,0,mpc,77107.29540483814,7.777300000000082,19720.914811474762,15775.528350922657,3901.9177109526872,6358.277333914819,6578.735829883604,52023.06179203428,53.74114300000056,52076.80293503428
2025-06-30,180,0,mpc,79075.6012773661,147.48487278022947,20606.43305155381,16779.018364573076,5517.98747983226,6578.735829883604,6481.171837867509,52542.5599345552,1034.8376154397702,53577.39754999497
2025-07-01,181,0,mpc,79941.33155608043,3937.8774672799173,22373.95680823532,18946.599611067333,1585.30779285903,6481.171837867509,5565.955619648934,57718.04908012516,23685.39539429938,81403.44447442454
2025-07-02,182,0,mpc,100058.90338975863,0.0,17639.271006088486,11690.715861778179,21205.58187878166,5565.955619648934,8451.615234263929,74199.07042467111,0.0,74199.07042467111
2025-07-03,183,0,mpc,90360.44985486094,0.0,18446.997160485862,15243.238795205161,7396.272556246903,8451.615234263929,8116.980684028802,68908.73692556533,0.0,68908.73692556533
2025-07-04,184,0,mpc,42577.17970639275,9.013375651986419,19072.939174790943,17033.289693148814,11665.676133735944,8116.980684028802,6356.7485045086305,24282.748448210365,18.459732445891213,24301.208180656256
2025-07-05,185,0,mpc,48157.562806525486,0.0,20469.334883045143,15269.586458879943,14167.734415693618,6356.7485045086305,7812.942722715988,27220.995885649158,0.0,27220.995885649158
2025-07-06,186,0,mpc,94376.70638631903,0.0,21325.11683141962,16374.174660151335,9631.782665050745,7812.942722715988,8812.020470825497,71977.20382544977,0.0,71977.20382544977
2025-07-07,187,0,mpc,85082.63975352832,0.0,16870.371775703006,15027.107965384102,9829.893176542748,8812.020470825497,7298.568440753643,63663.62887143255,0.0,63663.62887143255
2025-07-08,188,0,mpc,84209.94844317711,0.0,22870.639105691662,18885.929504838925,4653.851825657706,7298.568440753643,6897.777519388441,62679.969704433686,0.0,62679.969704433686
2025-07-09,189,0,mpc,84094.55165941073,46.200673626816865,20686.13612817251,16862.150595432337,6258.041783630723,6897.777519388441,6779.577150929993,62161.45494732332,398.9175914121324,62560.37253873545
